"FID_","FID_1","Id","FID_2","AREA","STATE_NAME","STATE_FIPS","SUB_REGION","STATE_ABBR","REGION_02","NAME","GMI_CNTRY","REGION","REGIONS","MARCH","MSAAD","MSAUD","MSHP","MSRED","MSUP","OTHER","TOTAL","Lon","Lat"
,3679,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,14.250000,-17.250000
,3680,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,15.750000,-17.250000
,3681,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,17.250000,-17.250000
,3682,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,18.750000,-17.250000
,3683,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,20.250000,-17.250000
,3684,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,21.750000,-17.250000
,3738,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,12.750000,-15.750000
,3739,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,14.250000,-15.750000
,3740,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,15.750000,-15.750000
,3741,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,17.250000,-15.750000
,3742,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,18.750000,-15.750000
,3743,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,20.250000,-15.750000
,3744,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,21.750000,-15.750000
,3796,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,12.750000,-14.250000
,3797,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,14.250000,-14.250000
,3798,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,15.750000,-14.250000
,3799,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,17.250000,-14.250000
,3800,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,18.750000,-14.250000
,3801,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,20.250000,-14.250000
,3802,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,21.750000,-14.250000
,3850,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,14.250000,-12.750000
,3851,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,15.750000,-12.750000
,3852,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,17.250000,-12.750000
,3853,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,18.750000,-12.750000
,3854,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,20.250000,-12.750000
,3855,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,21.750000,-12.750000
,3856,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,23.250000,-12.750000
,3900,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,14.250000,-11.250000
,3901,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,15.750000,-11.250000
,3902,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,17.250000,-11.250000
,3903,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,18.750000,-11.250000
,3904,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,20.250000,-11.250000
,3905,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,21.750000,-11.250000
,3906,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,23.250000,-11.250000
,3947,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,14.250000,-9.750000
,3948,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,15.750000,-9.750000
,3949,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,17.250000,-9.750000
,3950,0,55,0.000000," "," "," "," ","Africa","Angola","AGO","Sub Saharan Africa","Africa",0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,18.750000,-9.750000
