Row Labels,All Salaries,< $30,$30 - $40,$40 - $50,$50 - $60,$60 - $70,$70 - $80,$80 - $90,$90 - $100,> $100
Less than 20,7,4,1,1,1,,,,,
20 - 24,5,2,1,,1,,,,1,
25 - 29,5,2,,2,,,1,,,
30 - 34,3,1,1,,,1,,,,
35 - 39,25,2,2,6,5,4,1,2,1,2
40 - 44,138,8,10,26,51,22,8,3,2,8
45 - 49,96,4,5,24,32,16,6,5,,4
50 - 54,70,4,2,14,18,10,4,4,2,12
55 - 59,43,4,1,8,6,6,9,3,,6
55 - 60,1,,,,1,,,,,
60 - 64,27,,1,1,7,3,4,1,,10
65 - 69,8,,,1,1,,2,1,,3
70 - 74,8,,,2,1,1,,1,1,2
75 - 79,5,,,3,,,1,,,1
80 or more,8,2,1,1,3,1,,,,
