Row Labels,All Majors,M.Arch,MS.AAD,MS.AUD,MS.HP,MS.RED,MS.UP,Other
Africa,1,,,,,1,,0
Asia,46,5,17,15,,4,3,2
Canada,14,6,1,,,,6,1
Europe,45,5,20,8,,6,4,2
Latin America,14,,6,3,,2,2,1
Middle East,6,1,3,1,,1,,0
Midwest,26,12,2,1,3,,5,3
N.E.,171,53,22,12,11,31,32,10
Oceania,3,,3,,,,,0
S.E.,38,14,3,3,7,2,3,6
S.W.,19,11,4,1,1,1,,1
West,66,18,15,3,3,11,13,3
Row Labels,All Majors,M.Arch,MS.AAD,MS.AUD,MS.HP,MS.RED,MS.UP,Other
Africa,2,,,,,1,1,0
Asia,31,4,8,11,,3,3,2
Canada,8,2,,,,2,2,2
Europe,13,2,4,2,,3,2,0
Latin America,11,1,4,2,,4,,0
Middle East,4,1,1,2,,,,0
Midwest,10,2,3,,1,,3,1
Northeast,307,103,57,23,18,37,49,20
Oceania,3,,2,,1,,,0
Southeast,13,1,2,2,2,4,,2
Southwest,7,,5,,,,2,0
West,40,9,10,5,3,5,6,2
