What degree did you receive at GSAPP?,What is your annual salary?,Photoshop,Illustrator,InDesign,After Effects,Lightroom,AutoCad,Rhino,Grasshopper,3dsMax,Maya,Revit,SketchUp,Excel,Word,PowerPoint,Processing,Python,ArcGIS,D3,CartoDB,MapBox,Dreamweaver,JavaScript,Catia,Ecotect
M.Arch,$60 - $70,1,1,1,,,1,1,1,,,1,,1,1,1,,,,,,,,,,
M.Arch,$70 - $80,1,1,1,1,,,1,,1,,,,1,1,,,,,,,,,,,
M.Arch,$50 - $60,1,1,1,,,1,1,,1,,,,1,1,1,,,,,,,,,,
M.Arch,$70 - $80,1,1,1,1,,,,,,,,,1,1,1,,,,,,,,,,
M.Arch,$50 - $60,1,1,1,,,1,1,1,1,,1,,1,1,1,,,,,,,,,,1
M.Arch,$40 - $50,1,1,1,1,,,,,,,1,1,1,1,,,,,,,,,,,
M.Arch,$50 - $60,1,1,1,,,1,,,,,1,,,,,,,,,,,,,,
M.Arch,$70 - $80,,,,,,1,,,,,1,,1,,1,,,,,,,,,,
M.Arch,$50 - $60,1,1,1,,,1,1,,1,,1,1,1,1,1,,,,,,,,,,
M.Arch,$50 - $60,1,1,1,,,1,,,1,,1,1,1,,,,,,,,,,,,
M.Arch,$50 - $60,1,1,1,,,,1,1,,,,,,,,,,1,,,,,,,
M.Arch,$70 - $80,1,1,1,,,,1,,,,,,1,1,1,,,,,,,,,,
M.Arch,$50 - $60,1,1,1,1,,1,1,1,1,,,,1,1,,,1,,,,,,,,
M.Arch,$50 - $60,1,1,1,1,,1,1,1,1,,1,,1,1,1,,,,,,,,,,
M.Arch,$50 - $60,1,1,1,,,1,1,1,,,1,,1,,1,1,1,,,,,,,,
M.Arch,$60 - $70,,,,,,1,,,,,1,,1,1,,,,,,,,,,,
M.Arch,$50 - $60,1,1,1,,,,,,,,1,1,1,1,1,,,,,,,,,,
M.Arch,$50 - $60,1,1,1,,,1,1,1,,,1,,1,1,,,,,,,,,,,
M.Arch,$50 - $60,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,
M.Arch,$40 - $50,1,1,1,,,1,1,1,,,1,,1,1,1,,,,,,,,,,
M.Arch,$50 - $60,1,1,1,,,,1,1,,,1,,1,,,1,,,,,,,1,,
M.Arch,$40 - $50,1,1,1,1,,,1,1,1,1,,,1,,,,1,,1,,,1,1,,1
M.Arch,$40 - $50,1,1,1,,,1,,,,,,1,1,1,,,,,,,,,,,
M.Arch,$70 - $80,1,1,1,,,1,1,,1,,1,,1,1,1,,,,,,,,,,
M.Arch,$30 - $40,1,,1,,,,,,,,,,1,1,,,,,,,,,,,
M.Arch,$50 - $60,1,1,,,,1,1,,,,,,1,1,,,,,,,,,,,
M.Arch,$60 - $70,1,1,1,,,1,1,,,,1,,1,1,,,,,,,,,,,
M.Arch,$40 - $50,1,1,1,,,1,1,,,,,,1,1,1,,,,,,,,,,
M.Arch,$50 - $60,1,,1,,,1,1,,,,,,1,,,,,,,,,,,,
M.Arch,$50 - $60,1,1,1,,,1,,,,,1,1,1,1,,,,,,,,,,,
M.Arch,$40 - $50,1,1,1,1,1,,,,,,,,1,1,,,,,,,,,,,
M.Arch,$60 - $70,1,1,1,,,1,1,1,1,,,,1,1,1,,,,,,,,,,
M.Arch,$40 - $50,1,1,,,,,1,,,,,,1,,,,,,,,,,,,
M.Arch,$40 - $50,1,1,1,,,1,1,1,,,,,,,,,,,,,,,,,
M.Arch,$90 - $100,,1,,,,1,,,,,,,1,1,1,,,,,,,,,,
M.Arch,Less than $30,1,1,1,1,,,1,1,1,,1,,1,,,1,,,,,,,,,
M.Arch,$50 - $60,1,,1,,,1,,,,,,1,,,,,,,,,,,,,
M.Arch,$90 - $100,1,1,,,,1,1,,,,1,,1,1,,,,,,,,,,,
M.Arch,$60 - $70,1,,,1,,1,1,,1,1,,,,,,,1,,,,,,,,
M.Arch,$50 - $60,,,,,,1,,,,,,,,,1,,,,,,,,,,
M.Arch,$50 - $60,1,1,1,,,1,1,,,,,,1,1,,,,,,,,,,,
M.Arch,$40 - $50,1,1,1,,,1,1,1,,,,1,1,1,,,,,,,,,,,
M.Arch,$50 - $60,1,1,1,,,,,,,,1,,1,1,,,,,,,,,,,
M.Arch,$40 - $50,1,1,1,,,1,1,1,,,,,1,,,,,,,,,,,,
M.Arch,$40 - $50,1,1,1,,,1,1,,1,,,1,1,1,,,,1,,,,,,,
M.Arch,$60 - $70,1,,1,,,1,1,1,,,1,,1,1,,,,,,,,,,,
M.Arch,$70 - $80,1,1,1,,,1,1,,,,,,1,1,1,,,,,,,,,,1
M.Arch,$100 or more,1,1,1,,,,,,,,,,1,1,1,,,,,,,,,,
M.Arch,$40 - $50,1,1,,,,1,1,1,,,,,,,,,,,,,,,,,
M.Arch,$50 - $60,1,1,1,,,1,1,1,,,1,1,1,1,,,,,,,,,,,
M.Arch,$50 - $60,1,1,1,1,,1,1,1,,1,,1,1,1,,1,1,1,,,,,1,,
M.Arch,$50 - $60,1,,,,,1,,,,,,1,1,1,,,,,,,,,,,
M.Arch,$50 - $60,1,1,1,,,1,1,,,,,,,1,1,,,,,,,,,,
M.Arch,$50 - $60,1,1,1,,,1,1,1,,,,,1,1,,,,,,,,,,,
M.Arch,$40 - $50,1,,,,,1,,,,,,1,1,1,,,,,,,,,,,
M.Arch,$40 - $50,1,1,1,,,,1,,,,1,,1,1,,,,,,,,,,,
M.Arch,$30 - $40,1,1,1,,1,1,1,1,,,,,1,1,1,,,,,,,,,,
M.Arch,$40 - $50,1,1,1,,,1,1,,,,,,1,1,,,,,,,,,,,
M.Arch,$50 - $60,1,1,1,1,,1,1,,1,,,1,1,1,1,,,,,,,,,,
M.Arch,$50 - $60,1,1,1,,,1,1,1,1,,1,1,1,1,1,,,,,,,,,,
M.Arch,$60 - $70,1,1,1,,,1,1,,1,,1,,1,1,1,,,,,,,,,,
