Females,All Majors,M.Arch,MS.AAD,MS.AUD,MS.HP,MS.RED,MS.UP,Other
Less than $30,25,4,4,6,1,1,6,3
$30 - $40,12,1,1,1,3,,4,2
$40 - $50,57,18,14,5,10,1,7,2
$50 - $60,66,24,16,7,4,,12,3
$60 - $70,27,6,2,2,2,2,11,2
$70 - $80,19,5,7,2,,3,2,0
$80 - $90,7,1,1,1,1,,1,2
$90 - $100,2,1,,,,1,,0
$100 or more,12,,,,,9,2,1
Less than $30,8,,3,1,,1,2,1
$30 - $40,13,6,5,,1,,1,0
$40 - $50,32,9,12,4,,1,3,3
$50 - $60,60,25,16,6,2,,8,3
$60 - $70,37,14,9,4,,1,4,5
$70 - $80,17,6,3,3,1,1,2,1
$80 - $90,13,2,1,3,,4,2,1
$90 - $100,5,1,1,1,,1,1,0
$100 or more,36,2,,1,,33,,0
