Index,What degree did you receive at GSAPP?,In what year did you graduate from GSAPP?,How many years of professional experience did you have before attending GSAPP?,Did you do any summer internships while you attended GSAPP?,How long after graduating from GSAPP did you start working?
1,MS.AAD,2012,Less than 1,1,Between 1 and 3 months
2,M.Arch,2012,Between 1 and 3,2,Between 1 and 3 months
3,MS.UP,2011,More than 3,2,Less than 1 month
4,MS.HP,2010,Between 1 and 3,1,Between 3 and 6 months
5,MS.RED,2012,None,None,Less than 1 month
6,M.Arch,2012,Less than 1,None,Less than 1 month
7,Other,2010,Between 1 and 3,More than 2,Between 1 and 3 months
8,Other,2011,Between 1 and 3,None,Between 1 and 3 months
9,MS.HP,2011,Between 1 and 3,2,Between 6 months and 1 year
10,M.Arch,2011,Less than 1,More than 2,Less than 1 month
11,M.Arch,2011,None,None,Less than 1 month
12,MS.RED,2010,More than 3,1,Less than 1 month
13,MS.AAD,2013,None,None,Between 1 and 3 months
14,MS.HP,2012,None,2,Less than 1 month
15,M.Arch,2012,None,2,Between 3 and 6 months
16,MS.RED,2009,None,1,Less than 1 month
17,M.Arch,2012,None,2,Between 3 and 6 months
18,MS.RED,2011,More than 3,None,Between 1 and 3 months
19,MS.AUD,2013,None,None,Between 1 and 3 months
20,MS.RED,2013,Between 1 and 3,None,Between 3 and 6 months
21,MS.RED,2011,More than 3,1,Less than 1 month
22,M.Arch,2012,None,1,Between 1 and 3 months
23,M.Arch,2012,Between 1 and 3,2,Less than 1 month
24,M.Arch,2013,Between 1 and 3,2,Less than 1 month
25,M.Arch,2013,More than 3,2,Between 1 and 3 months
26,MS.AAD,2013,More than 3,None,Between 3 and 6 months
27,MS.HP,2012,More than 3,More than 2,Less than 1 month
28,M.Arch,2013,None,2,Less than 1 month
29,MS.RED,2012,More than 3,None,Less than 1 month
30,MS.AUD,2011,More than 3,None,Between 1 and 3 months
31,MS.UP,2013,None,1,Between 6 months and 1 year
32,MS.AAD,2011,More than 3,1,Between 1 and 3 months
33,MS.AAD,2010,Between 1 and 3,None,Between 1 and 3 months
34,MS.UP,2013,Between 1 and 3,1,Between 6 months and 1 year
35,M.Arch,2009,Between 1 and 3,2,Between 1 and 3 months
36,MS.RED,2012,Between 1 and 3,1,Less than 1 month
37,MS.UP,2011,Between 1 and 3,1,Between 1 and 3 months
38,M.Arch,2012,Between 1 and 3,None,Less than 1 month
39,MS.HP,2011,None,1,Between 1 and 3 months
40,Other,2011,Between 1 and 3,1,Between 3 and 6 months
41,M.Arch,2012,None,1,Less than 1 month
42,MS.UP,2013,None,More than 2,Between 3 and 6 months
43,MS.AAD,2013,None,1,Between 3 and 6 months
44,MS.RED,2012,Between 1 and 3,None,Less than 1 month
45,MS.UP,2012,None,2,Less than 1 month
46,MS.HP,2009,None,More than 2,Between 3 and 6 months
47,M.Arch,2009,None,2,Between 6 months and 1 year
48,MS.HP,2012,None,More than 2,Less than 1 month
49,MS.AAD,2011,Less than 1,None,Between 1 and 3 months
50,M.Arch,2013,More than 3,2,Less than 1 month
51,M.Arch,2010,Less than 1,2,Between 6 months and 1 year
52,MS.RED,2010,Between 1 and 3,None,Less than 1 month
53,M.Arch,2012,Less than 1,2,Less than 1 month
54,MS.UP,2013,Between 1 and 3,1,Less than 1 month
55,MS.AAD,2011,Between 1 and 3,None,Between 1 and 3 months
56,Other,2012,More than 3,1,Between 1 and 3 months
57,Other,2010,None,1,Between 1 and 3 months
58,M.Arch,2011,Less than 1,None,Between 1 and 3 months
59,MS.AAD,2013,Between 1 and 3,None,Between 3 and 6 months
60,M.Arch,2013,None,2,Between 1 and 3 months
61,MS.UP,2011,Between 1 and 3,1,Between 3 and 6 months
62,M.Arch,2013,Between 1 and 3,2,Less than 1 month
63,MS.UP,2013,Less than 1,None,Less than 1 month
64,MS.HP,2012,More than 3,2,Between 6 months and 1 year
65,M.Arch,2013,Between 1 and 3,None,Between 1 and 3 months
66,MS.UP,2010,Between 1 and 3,2,Between 3 and 6 months
67,MS.RED,2011,More than 3,1,More than 1 year
68,MS.AAD,2012,More than 3,None,Between 1 and 3 months
69,MS.AAD,2013,Between 1 and 3,None,Between 1 and 3 months
70,MS.RED,2010,More than 3,None,Less than 1 month
71,MS.UP,2009,Between 1 and 3,2,Between 6 months and 1 year
72,MS.AAD,2011,Between 1 and 3,None,Between 1 and 3 months
73,M.Arch,2013,None,2,Between 1 and 3 months
74,M.Arch,2010,Between 1 and 3,2,Between 1 and 3 months
75,MS.RED,2011,More than 3,None,Between 1 and 3 months
