Row Labels,All Majors,M.Arch,MS.AAD,MS.AUD,MS.HP,MS.RED,MS.UP,Other
Architecture,269,113,94,38,10,3,8,3
Fabrication,23,10,11,2,0,0,0,0
Interior Design,145,64,60,17,1,2,1,0
Graphic Design,42,15,12,6,1,1,6,1
Product Design,29,16,9,2,0,0,2,0
Branding,29,12,7,3,0,2,5,0
Engineering,49,15,9,6,2,1,16,0
Construction Management,75,22,15,10,5,10,13,0
Real Estate,82,9,3,6,3,50,11,0
Art,27,14,7,2,1,0,1,2
Urban Design,95,22,26,35,0,0,11,1
Advertisement,4,2,0,0,0,0,2,0
Urban Planning,104,23,13,18,3,2,44,1
Preservation,42,6,3,3,21,2,7,0
Data Visualization,29,13,4,3,1,0,8,0
Policy,41,4,0,8,3,3,23,0
Transportation,39,5,3,5,1,0,25,0
Other,31,6,2,1,1,5,14,2
