Annual Salary Range,All Majors,2009,2010,2011,2012,2013,M.Arch,2009,2010,2011,2012,2013,MS.AAD,2009,2010,2011,2012,2013,MS.AUD,2009,2010,2011,2012,2013,MS.HP,2009,2010,2011,2012,2013,MS.RED,2009,2010,2011,2012,2013,MS.UP,2009,2010,2011,2012,2013,Other,2009,2010,2011,2012,2013
Less than $30,33,3,4,3,13,10,4,,1,1,2,,7,1,1,,2,3,7,1,2,,4,,1,,,1,,,2,,,1,,1,8,,,,5,3,4,1,0,0,0,3
$30 - $40,25,5,4,2,8,6,7,1,2,,1,3,6,3,,,1,2,1,,,,1,,4,,1,,2,1,,,,,,,5,1,1,1,2,,2,0,0,1,1,0
$40 - $50,89,4,7,17,28,33,27,,2,5,5,15,26,,2,4,11,9,9,2,,1,4,2,10,1,2,2,4,1,2,,,1,,1,10,,1,3,3,3,5,1,0,1,1,2
$50 - $60,127,5,13,30,44,35,49,1,5,11,15,17,33,,2,12,13,6,13,,2,3,5,3,6,,,1,3,2,,,,,,,20,4,2,3,5,6,6,0,2,0,3,1
$60 - $70,64,6,10,16,22,10,20,1,4,3,8,4,11,2,1,3,4,1,6,,1,3,1,1,2,1,,,1,,3,1,,,1,1,15,1,3,4,5,2,7,0,1,3,2,1
$70 - $80,36,9,5,3,13,6,11,4,1,1,3,2,10,4,3,2,1,,5,1,,,3,1,1,,1,,,,4,,,,3,1,4,,,,2,2,1,0,0,0,1,0
$80 - $90,20,3,3,5,4,5,3,1,,1,1,,2,,2,,,,4,,1,2,,1,1,1,,,,,4,,,,2,2,3,1,,,1,1,3,0,0,2,0,1
$90 - $100,7,2,0,2,1,2,2,1,,,,1,1,,,1,,,1,,,,1,,,,,,,,2,,,1,,1,1,1,,,,,0,0,0,0,0,0
$100 or more,48,14,5,15,11,3,2,1,,,1,,,,,,,,1,,,,,1,,,,,,,42,13,5,14,10,,2,,,1,,1,1,0,0,0,0,1
