All Majors,All Years,2013,2012,2011,2010,2009
M.Arch,383,83,87,86,68,59
MS.AAD,485,101,103,94,102,85
MS.AUD,227,42,49,50,44,42
MS.HP,110,28,32,19,13,18
MS.UP,230,55,53,28,53,41
MS.RED,457,85,81,99,97,95
Other,55,15,16,19,2,3
All Majors,All Years,2013,2012,2011,2010,2009
M.Arch,125,42,36,22,15,10
MS.AAD,96,21,32,22,11,10
MS.AUD,47,9,19,9,6,4
MS.HP,25,4,10,4,4,3
MS.UP,68,18,23,12,7,8
MS.RED,59,7,16,17,5,14
Other,29,9,8,7,3,2
,,,,,,
Degree,Total,2013,2012,2011,2010,2009
M.Arch,28.56443406,35.56768535,32.16337605,25.28902694,23.48341092,20.58467424
MS.AAD,22.24511993,22.79916622,27.86932057,24.18897234,16.41973944,17.14985851
MS.AUD,22.75128887,23.14550249,31.13499245,21.21320344,18.46372365,15.430335
MS.HP,23.83656473,18.89822365,27.95084972,22.94157339,27.73500981,20.41241452
MS.UP,27.18695339,28.60387768,32.93790613,32.73268354,18.17109461,22.08630521
MS.RED,17.96544215,14.34860108,22.22222222,20.71938535,11.35191523,19.1942974
Other,36.30677372,38.72983346,35.35533906,30.34884893,61.23724357,40.82482905
